no,einw,prax
1,Eckardt,EckaAckeZetzJansLühr
1,Acker,EckaAckeZetzJansLühr
1,Zetzsche,EckaAckeZetzJansLühr
1,Janssen,EckaAckeZetzJansLühr
1,Lührs,EckaAckeZetzJansLühr
2,Möldner,MöldWenn
2,Wenninger,MöldWenn
3,Dußler,DußlBrei
3,Breitenbach,DußlBrei
8,Araib-Gärtner,Arai
9,Bussi,BussKlem
9,Klempp,BussKlem
10,Lang,LangMosb
10,Mosbacher,LangMosb
11,Brand,BranGiacHaupOppeSpod
11,Giacin,BranGiacHaupOppeSpod
11,Haupt,BranGiacHaupOppeSpod
11,Oppermann,BranGiacHaupOppeSpod
11,Spodzieja,BranGiacHaupOppeSpod
12,Simpfendörfer,KußSimpfRaupMülStump
12,Kußmaul,KußSimpfRaupMülStump
12,Mütsch,KußSimpfRaupMülStump
12,Raupp,KußSimpfRaupMülStump
12,Stump,KußSimpfRaupMülStump
17,Bachmann,Bach
18,Leichsenring,Leic
19,Schneider,SchnMeng
19,Menger,SchnMeng
19,Paulsen,SchnMeng
21,Nisslmüller,Niss
22,Kiss,Kiss
24,Bombel,Bomb
25,Lambertz,LambPohl
25,Pohl,LambPohl
26,Leipert,Leip
28,Tischer,TiscGoltLusz
28,Golter,TiscGoltLusz
28,Lusznat,TiscGoltLusz
30,Menzel,MenzHoff
30,Hoffmann,MenzHoff
32,Nadlacan,Nadl
35,Haas,Haas
36,Schanbacher,SchaSoltPapp
36,Soltys,SchaSoltPapp
36,Papp,SchaSoltPapp
39,Geldbach,Geld
40,Krych,KrycHillCher
40,Hillmeier,KrycHillCher
40,Cherwon,KrycHillCher
41,Reitzner,ReitStocBissBrösHollJostKonzLemkMuth
41,Stock,ReitStocBissBrösHollJostKonzLemkMuth
41,Bisse,ReitStocBissBrösHollJostKonzLemkMuth
41,Brösse,ReitStocBissBrösHollJostKonzLemkMuth
41,Holland,ReitStocBissBrösHollJostKonzLemkMuth
41,Jost,ReitStocBissBrösHollJostKonzLemkMuth
41,Konze,ReitStocBissBrösHollJostKonzLemkMuth
41,Lemke,ReitStocBissBrösHollJostKonzLemkMuth
41,Muth,ReitStocBissBrösHollJostKonzLemkMuth
42,Strenger,Stre
43,Synnatschke,Synn
44,Vogl,Vogl
45,Winkler,Wink
46,Bartenbach,Bart
47,Hilbert,HilbKleh
47,Klehr,HilbKleh
48,Blimke,Blim
49,Schindler,SchiDomeRein
49,Dome,SchiDomeRein
49,Reinhard,SchiDomeRein
50,Reiter,Reiter
